1000	2.20	2.30	2.23
2000	2.10	2.40	2.26
4000	2.20	2.50	2.32
8000	2.30	2.60	2.42
16000	2.30	27.70	5.03
32000	2.40	27.00	5.19
64000	2.80	53.40	10.65
128000	3.20	6.90	4.52
256000	3.30	7.70	5.21
512000	9.40	22.40	13.33
1024000	11.50	21.30	13.69
2048000	11.80	18.70	15.23
4096000	12.20	17.10	15.53
8192000	12.70	33.30	20.39
16384000	13.00	150.20	34.75
