100	15200.00
200	63300.00
300	143800.00
400	248900.00
500	392600.00
600	577300.00
700	725701.00
800	1010800.00
900	1257800.00
1000	1507401.00
1100	1852001.00
1200	2166202.00
1300	2587301.00
1400	3083901.00
1500	3496302.00
1600	4028803.00
1700	4491603.00
1800	4886402.00
1900	5735103.00
2000	6220404.00
2100	6760104.00
2200	7531504.00
2300	8287205.00
2400	8959805.00
2500	9691106.00
2600	10388406.00
2700	11624907.00
2800	12290207.00
2900	13042708.00
3000	14288308.00
3100	15076909.00
3200	16130009.00
3300	16933210.00
3400	17864610.00
3500	19286411.00
3600	20502212.00
3700	21484712.00
3800	22884413.00
3900	23604614.00
4000	25339009.00
4100	26629709.00
4200	27403209.00
4300	29113209.00
4400	30571910.00
4500	31705411.00
4600	33468311.00
4700	34953111.00
4800	36219712.00
4900	37962912.00
