100	590.00000
200	690.00000
300	730.00000
400	750.00000
500	800.00000
600	820.00000
700	840.00000
800	870.00000
900	870.00000
1000	900.00000
1100	910.00000
1200	910.00000
1300	920.00000
1400	930.00000
1500	960.00000
1600	970.00000
1700	990.00000
1800	990.00000
1900	970.00000
2000	1010.00000
2100	1020.00000
2200	1030.00000
2300	1010.00000
2400	1030.00000
2500	1030.00000
2600	1030.00000
2700	1050.00000
2800	1020.00000
2900	1040.00000
3000	1080.00000
3100	1070.00000
3200	1080.00000
3300	1080.00000
3400	1050.00000
3500	1080.00000
3600	1070.00000
3700	1110.00000
3800	1120.00000
3900	1110.00000
4000	1120.00000
4100	1120.00000
4200	1120.00000
4300	1130.00000
4400	1110.00000
4500	1130.00000
4600	1120.00000
4700	1160.00000
4800	1150.00000
4900	1140.00000
