100	660.00000
200	780.00000
300	830.00000
400	900.00000
500	930.00000
600	950.00000
700	980.00000
800	970.00000
900	980.00000
1000	1010.00000
1100	1020.00000
1200	1040.00000
1300	1040.00000
1400	1050.00000
1500	1070.00000
1600	1090.00000
1700	1100.00000
1800	1140.00000
1900	1120.00000
2000	1130.00000
2100	1110.00000
2200	1160.00000
2300	1200.00000
2400	1200.00000
2500	1210.00000
2600	1230.00000
2700	1230.00000
2800	1220.00000
2900	1250.00000
3000	1250.00000
3100	1250.00000
3200	1250.00000
3300	1260.00000
3400	1270.00000
3500	1230.00000
3600	1230.00000
3700	1260.00000
3800	1290.00000
3900	1250.00000
4000	1260.00000
4100	1260.00000
4200	1300.00000
4300	1250.00000
4400	1250.00000
4500	1290.00000
4600	1290.00000
4700	1320.00000
4800	1280.00000
4900	1250.00000
